Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Goehring et al. (2008)	bedrock	Goeh2008-18	Broo1996-B	SK94-5	61.8666	6.9505	1440	1	2.6	0.98	229000	20000	NIST_Certified	0	0	0	1994	15020	1520	-	-	15034	1613	1318	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-19	Broo1996-B	SK94-7	61.8684	6.9527	1500	2.5	2.6	0.99	490000	34000	NIST_Certified	0	0	0	1994	30740	2640	-	-	30718	2872	2148	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-20	Broo1996-C	SK94-8a	61.8700	6.9626	1600	3.5	2.6	1	543000	39000	NIST_Certified	0	0	0	1994	31580	2770	-	-	31315	2986	2267	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-21	Broo1996-C	SK94-10	61.8693	6.9628	1780	1	2.6	1	359000	31000	NIST_Certified	0	0	0	1994	17800	1780	-	-	17511	1865	1519	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-22	Broo1996-C	SK94-11	61.8697	6.9733	1780	1	2.6	1	282000	41000	NIST_Certified	0	0	0	1994	13960	2150	-	-	13762	2180	2008	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-23	Broo1996-C	SK94-9	61.8722	6.9787	1840	2.5	2.6	1	621000	44000	NIST_Certified	0	0	0	1994	29880	2610	-	-	29278	2769	2090	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-24	Goeh2008-B	BL05-2	61.89784	9.13809	1086	6.5	2.6	1	125000	11000	NIST_Certified	0	0	0	2005	10820	960	-	-	11395	1227	1006	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-25	Goeh2008-B	BL05-1	61.89590	9.14320	1142	4	2.6	1	114000	27000	NIST_Certified	0	0	0	2005	9210	2160	-	-	9676	2374	2297	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-26	Goeh2008-B	BL05-3	61.90444	9.17181	1176	1	2.6	1	148000	10000	NIST_Certified	0	0	0	2005	11440	790	-	-	11922	1093	808	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-27	Goeh2008-B	BL05-5	61.90289	9.16580	1182	1	2.6	1	174000	14000	NIST_Certified	0	0	0	2005	13380	1050	-	-	13936	1417	1125	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-28	Goeh2008-B	BL94-9A	61.8964	9.1398	1077	1	2.6	1	137000	12000	NIST_Certified	0	0	0	1994	11750	1200	-	-	12016	1290	1056	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-29	Goeh2008-B	BL94-9B	61.8965	9.1398	1077	1	2.6	1	127000	23000	NIST_Certified	0	0	0	1994	10880	2070	-	-	11137	2136	2023	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-30	Goeh2008-B	BL94-8A	61.9024	9.1558	1100	1	2.6	1	321000	27000	NIST_Certified	0	0	0	1994	27130	2690	-	-	27589	2896	2337	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-31	Goeh2008-B	BL94-6B	61.9024	9.1558	1120	1	2.6	1	140000	13000	NIST_Certified	0	0	0	1994	11570	1250	-	-	11832	1322	1102	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-32	Goeh2008-B	BL94-7	61.9039	9.1813	1180	1	2.6	1	122000	11000	NIST_Certified	0	0	0	1994	9600	980	-	-	9776	1070	884	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-33	Goeh2008-B	BL94-5A	61.9071	9.1727	1180	1	2.6	1	186000	16000	NIST_Certified	0	0	0	1994	14640	1470	-	-	14919	1584	1288	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-34	Goeh2008-B	BL94-5B	61.9071	9.1727	1180	1	2.6	1	171000	15000	NIST_Certified	0	0	0	1994	13490	1370	-	-	13719	1475	1208	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-35	Goeh2008-B	BL94-6A	61.9094	9.1764	1180	1	2.6	1	148000	35000	NIST_Certified	0	0	0	1994	11710	2780	-	-	11880	2912	2818	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-36	Goeh2008-C	BL05-4	61.90355	9.20972	1302	2.5	2.6	1	349000	21000	NIST_Certified	0	0	0	2005	24690	1510	-	-	25567	2215	1548	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-37	Goeh2008-C	BL97-10	61.9018	9.2170	1350	1	2.6	1	166000	14000	NIST_Certified	0	0	0	1997	11450	1150	-	-	11540	1208	976	-	-	-	-
