Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2009b)	boulder	Seon2009b-62	Seon2009b-L	MUST-61	38.289	75.008	4284	5	2.65	1	1144000	27000	KNSTD	0	0	0	2007	14700	400	-	-	16250	943	385	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-63	Seon2009b-M	MUST-62	38.301	74.984	4005	5	2.65	1	1175000	46000	KNSTD	0	0	0	2007	17400	700	-	-	19020	1256	748	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-64	Seon2009b-M	MUST-63	38.301	74.983	4001	5	2.65	1	1676000	45000	KNSTD	0	0	0	2007	24900	700	-	-	25653	1528	693	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-65	Seon2009b-M	MUST-64	38.302	74.969	3987	5	2.65	1	1547000	37000	KNSTD	0	0	0	2007	23200	600	-	-	24121	1406	580	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-66	Seon2009b-M	MUST-65	38.303	74.979	3979	5	2.65	1	4953000	93000	KNSTD	0	0	0	2007	75400	1400	-	-	71053	4051	1358	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-67	Seon2009b-M	MUST-66	38.302	74.980	3995	5	2.65	1	3266000	56000	KNSTD	0	0	0	2007	49000	900	-	-	46067	2585	799	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-68	Seon2009b-M	MUST-86	38.283	74.980	3988	5	2.65	1	1585000	38000	KNSTD	0	0	0	2007	23800	600	-	-	24632	1436	594	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-69	Seon2009b-N	MUST-67	38.288	75.008	4246	5	2.65	1	1049000	34000	KNSTD	0	0	0	2007	13700	500	-	-	15323	953	499	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-70	Seon2009b-N	MUST-68	38.288	75.008	4244	5	2.65	1	1027000	25000	KNSTD	0	0	0	2007	13500	300	-	-	15063	879	368	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-71	Seon2009b-N	MUST-69	38.287	75.007	4234	5	2.65	1	1078000	26000	KNSTD	0	0	0	2007	14200	300	-	-	15785	919	382	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-72	Seon2009b-N	MUST-70	38.288	75.007	4244	5	2.65	1	1021000	26000	KNSTD	0	0	0	2007	13400	300	-	-	14989	881	383	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-73	Seon2009b-N	MUST-71	38.288	75.008	4248	5	2.65	1	1037000	26000	KNSTD	0	0	0	2007	13600	300	-	-	15159	889	382	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-74	Seon2009b-O	MUST-72	38.287	75.011	4295	5	2.65	1	892000	22000	KNSTD	0	0	0	2007	11400	300	-	-	12969	758	321	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-75	Seon2009b-O	MUST-73	38.286	75.011	4298	5	2.65	1	770000	19000	KNSTD	0	0	0	2007	9800	200	-	-	11318	661	280	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-76	Seon2009b-O	MUST-74	38.286	75.011	4292	5	2.65	1	807000	20000	KNSTD	0	0	0	2007	10300	300	-	-	11860	693	295	-	-	-	-
