Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2009)	boulder	Owen2009-12	Owen2009-C	Ron-25	28.1423	86.8536	5242	2.5	2.7	0.98	200000	10000	KNSTD	0	0	0	2007	2200	200	-	-	2784	224	139	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-13	Owen2009-C	Ron-26	28.1424	86.8535	5240	3.5	2.7	0.98	221000	7000	KNSTD	0	0	0	2007	2500	200	-	-	3001	211	95	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-14	Owen2009-C	Ron-27	28.1427	86.8540	5247	5	2.7	0.98	80000	6000	KNSTD	0	0	0	2007	900	100	-	-	1244	122	93	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-15	Owen2009-C	Ron-28	28.1431	86.8544	5244	3	2.7	0.98	230000	10000	KNSTD	0	0	0	2007	2600	200	-	-	3089	236	134	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-16	Owen2009-C	Ron-29	28.1432	86.8539	5240	1	2.7	0.98	197000	11000	KNSTD	0	0	0	2007	2200	200	-	-	2733	230	153	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-17	Owen2009-C	Ron-30	28.1436	86.8540	5245	3	2.7	0.98	206000	10000	KNSTD	0	0	0	2007	2300	200	-	-	2848	226	138	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-18	Owen2009-C	Ron-31	28.1432	86.8523	5193	4.5	2.7	0.95	84000	6000	KNSTD	0	0	0	2007	1000	100	-	-	1348	128	96	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-19	Owen2009-C	Ron-32	28.1432	86.8523	5190	0.5	2.7	0.95	81000	8000	KNSTD	0	0	0	2007	900	100	-	-	1281	150	127	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-20	Owen2009-C	Ron-33	28.1428	86.8523	5195	1	2.7	0.96	94000	5000	KNSTD	0	0	0	2007	1100	100	-	-	1434	118	76	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-21	Owen2009-D	Ron-34	28.1456	86.8500	5176	1.5	2.7	0.97	161000	6000	KNSTD	0	0	0	2007	1800	200	-	-	2392	175	89	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-22	Owen2009-D	Ron-35	28.1465	86.8483	5180	1.5	2.7	0.97	116000	5000	KNSTD	0	0	0	2007	1300	100	-	-	1716	131	74	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-23	Owen2009-D	Ron-36	28.1465	86.8484	5164	3	2.7	0.96	109000	5000	KNSTD	0	0	0	2007	1300	100	-	-	1662	129	76	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-24	Owen2009-E	Ron-2	28.2032	86.8263	5041	4	2.7	0.97	1205000	29000	KNSTD	0	0	0	2007	15000	1400	-	-	17308	1169	418	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-25	Owen2009-E	Ron-3	28.2034	86.8263	5056	1	2.7	0.97	1255000	51000	KNSTD	0	0	0	2007	15100	1500	-	-	17491	1314	714	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-26	Owen2009-E	Ron-4	28.2033	86.8263	5064	4	2.7	0.97	1241000	31000	KNSTD	0	0	0	2007	15300	1400	-	-	17604	1195	442	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-27	Owen2009-E	Ron-5	28.2035	86.8261	5057	2.3	2.7	0.98	1206000	29000	KNSTD	0	0	0	2007	14600	1300	-	-	16859	1139	407	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-28	Owen2009-E	Ron-6	28.2039	86.8256	5055	3	2.7	0.98	1197000	30000	KNSTD	0	0	0	2007	14500	1300	-	-	16837	1143	424	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-29	Owen2009-E	Ron-7	28.2041	86.8255	5045	4	2.7	0.98	1737000	39000	KNSTD	0	0	0	2007	21400	1900	-	-	22865	1534	516	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-30	Owen2009-E	Ron-8	28.2045	86.8253	5036	3	2.7	0.98	2007000	48000	KNSTD	0	0	0	2007	24600	2200	-	-	25746	1742	620	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-31	Owen2009-E	Ron-9	28.2045	86.8253	5031	3	2.7	0.98	1015000	38000	KNSTD	0	0	0	2007	12400	1200	-	-	14647	1075	550	-	-	-	-
