Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Stroeven et al. (in press)	bedrock	StroeInpress-84	StroeInpress-AJ	S-03-54	66.03438	17.86981	570	3	2.65	1	113899	5159	KNSTD	0	0	0	2003	13728	715	-	-	13820	863	628	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-85	StroeInpress-AJ	S-03-55	66.03438	17.86981	520	3	2.65	0.9997	83549	3771	KNSTD	0	0	0	2003	10498	545	-	-	10572	659	478	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-86	StroeInpress-AJ	S-03-57	66.02600	17.89053	460	2	2.65	1	69627	6237	KNSTD	0	0	0	2003	9159	855	-	-	9221	917	828	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-87	StroeInpress-AK	S-03-59	66.08476	17.91595	435	10	2.65	1	63793	5179	KNSTD	0	0	0	2003	9154	780	-	-	9253	851	753	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-88	StroeInpress-AK	S-03-60	66.08476	17.91595	435	8	2.65	1	60458	4396	KNSTD	0	0	0	2003	8519	657	-	-	8606	727	627	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-89	StroeInpress-AL	S-03-79	67.35066	18.38080	1422	3	2.65	0.9995	61981	4593	KNSTD	0	0	0	2003	3475	272	-	-	3484	298	258	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-90	StroeInpress-AL	S-03-80	67.35066	18.38080	1422	3	2.65	0.9995	780904	31088	KNSTD	0	0	0	2003	45104	2152	-	-	45227	2671	1821	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-91	StroeInpress-AL	S-03-81	67.35066	18.38080	1422	6	2.65	0.9995	919549	39468	KNSTD	0	0	0	2003	54583	2757	-	-	54790	3364	2384	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-92	StroeInpress-AL	S-03-82	67.35066	18.38080	1422	3	2.65	0.9995	1227802	39153	KNSTD	0	0	0	2003	71445	2962	-	-	71641	3888	2326	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-93	StroeInpress-AM	S-03-91	67.20284	21.98091	487	3	2.65	1	317331	17935	KNSTD	0	0	0	2003	41598	2603	-	-	41899	3000	2393	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-94	StroeInpress-AM	S-03-93	67.19808	21.99863	359	3	2.65	1	328985	9757	KNSTD	0	0	0	2003	48675	1921	-	-	49072	2583	1473	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-95	StroeInpress-AM	S-03-94	67.19688	22.00109	365	3	2.65	1	318942	9815	KNSTD	0	0	0	2003	46902	1891	-	-	47281	2519	1472	-	-	-	-
