P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
Huancané-II	3.771	0.164	0.729	0.827	X	27.015	1.397	0.962	0.469	X
Lake-Bonneville	4.245	0.086	0.061	0.998	X	29.483	1.318	0.303	0.911	X
Billingen	3.952	0.310	1.699	0.083	X	-	-	-	-	-
Glen-Roy	4.237	0.117	0.027	0.994	X	-	-	-	-	-
Azanaques	3.910	0.212	0.581	0.846	X	-	-	-	-	-
Coire-Fearchair	4.115	0.215	0.332	0.920	X	-	-	-	-	-
Corrie-nan-Arr	4.160	0.246	0.726	0.700	X	29.933	1.950	0.753	0.661	X
Maol-Chean-dearg	4.133	0.182	0.054	0.998	X	29.883	1.443	0.206	0.960	X
Baboon-Lake	3.778	0.256	1.842	0.075	X	25.190	1.909	2.042	0.130	X
Rannoch-Moor	4.113	0.271	1.025	0.426	X	-	-	-	-	-
SP-lava-flow	4.124	0.154	0.249	0.987	X	26.562	1.282	0.241	0.988	X

P-total	P(at/g/yr)	Punc(at/g/yr)
P10	4.06	0.25
P26	28.31	2.22
====================================================================================================

Output for 10Be/26Al production rate calibration with isostatic adjustment of atmospheric pressure
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
06-NE-010-LIT	4.336	0.159	X	26.380	1.798	X
06-NE-011-LIT	4.272	0.163	X	30.393	2.222	X
06-NE-012-LIT	4.398	0.150	X	31.081	1.636	X
06-NE-013-LIT	4.357	0.471	X	29.896	1.576	X
07-NE-001-BH	4.370	0.149	X	32.211	1.695	X
07-NE-002-BH	4.792	0.199	X	32.731	1.723	X
07-NE-003-BH	4.034	0.301	X	27.610	4.456	X
07-NE-004-BH	4.566	0.188	X	32.151	1.692	X
07-NE-005-BH	4.378	0.191	X	30.501	1.606	X
07-NE-006-BH	4.495	0.154	X	31.708	3.973	X
07-NE-007-BH	4.189	0.339	X	29.261	1.542	X
06-NE-002-LEV	4.850	0.385	X	-	-	-
06-NE-003-LEV	5.035	0.174	X	-	-	-
06-NE-004-LEV	5.253	0.181	X	-	-	-
CH-1	4.005	0.662	X	-	-	-
CH-2	3.714	0.404	X	-	-	-
CH-3	3.656	0.224	X	-	-	-
CH-4	4.159	0.264	X	-	-	-
CH-5	4.146	0.265	X	-	-	-
CH-6	4.242	0.276	X	-	-	-
CH-7	4.251	0.734	X	-	-	-
MR-08-01	3.942	0.117	X	-	-	-
MR-08-02	4.138	0.123	X	-	-	-
MR-08-03	3.992	0.119	X	-	-	-
MR-08-04	3.993	0.119	X	-	-	-
MR-08-05	4.048	0.120	X	-	-	-
MR-08-13	4.063	0.121	X	-	-	-
MR-08-14	3.995	0.119	X	-	-	-
BST-08-03	3.915	0.134	X	-	-	-
BST-08-04	4.011	0.125	X	-	-	-
BST-08-05	3.907	0.122	X	-	-	-
BST-08-06	3.993	0.153	X	-	-	-
BST-08-07	3.971	0.124	X	-	-	-
BST-08-08	4.045	0.126	X	-	-	-
BST-08-09	3.945	0.123	X	-	-	-
040906-02	3.468	0.168	X	-	-	-
040906-03	3.721	0.174	X	-	-	-
040906-04	3.734	0.179	X	-	-	-
060906-14	4.092	0.273	X	-	-	-
060906-15	3.811	0.223	X	-	-	-
060906-16	4.175	0.228	X	-	-	-
HE-06-02	4.223	0.133	X	-	-	-
HE-06-04	4.024	0.153	X	-	-	-
HE-07-11	4.262	0.134	X	-	-	-
HE-06-06	4.005	0.126	X	-	-	-
HE-06-07	4.037	0.127	X	-	-	-
HE-07-12	4.472	0.152	X	-	-	-
HE-07-13	4.020	0.272	X	-	-	-
HE-07-10	4.099	0.178	X	-	-	-
HE-06-05	4.081	0.129	X	-	-	-
HE-06-08	4.088	0.167	X	-	-	-
HE-06-01	3.798	0.120	X	-	-	-
HE-06-03	4.029	0.127	X	-	-	-
EQ-08-01	4.355	0.145	X	-	-	-
EQ-08-06	4.028	0.134	X	-	-	-
EQ-08-05	4.256	0.142	X	-	-	-
PBS-08-09	4.259	0.142	X	-	-	-
EQ-08-04	3.235	0.108	-	-	-	-
PBS-08-04	4.193	0.139	X	-	-	-
PBS-08-06	4.051	0.135	X	-	-	-
PBS-08-11	4.001	0.133	X	-	-	-
PBS-08-02	4.106	0.137	X	-	-	-
09GRO-08	3.888	0.312	X	-	-	-
09GRO-09	3.912	0.314	X	-	-	-
09GRO-11	3.841	0.308	X	-	-	-
09GRO-12	3.920	0.314	X	-	-	-
FTS08-01	3.961	0.317	X	-	-	-
FST08-02	3.749	0.301	X	-	-	-
YDC08-2	4.016	0.124	X	-	-	-
YDC08-3	4.164	0.128	X	-	-	-
YDC08-4	4.113	0.127	X	-	-	-
YDC08-5	4.373	0.134	X	-	-	-
YDC08-7	4.594	0.141	X	-	-	-
YDC08-8	4.242	0.131	X	-	-	-
YDC08-9	4.435	0.136	X	-	-	-
YDC08-10	4.300	0.132	X	-	-	-
OL08-1	4.352	0.150	X	-	-	-
OL08-3	4.002	0.138	X	-	-	-
OL08-5	3.672	0.127	X	-	-	-
OL08-7	4.226	0.171	X	-	-	-
OL08-9	3.989	0.156	X	-	-	-
OL08-11	5.124	0.177	-	-	-	-
OL08-13	4.095	0.148	X	-	-	-
CI2-01-01	4.059	0.432	X	-	-	-
CI2-01-02	4.000	0.251	X	-	-	-
CR03-90	3.874	0.180	X	-	-	-
CR03-91	3.891	0.279	X	-	-	-
CR03-92	3.973	0.184	X	-	-	-
CR03-93	3.954	0.183	X	-	-	-
CR03-94	4.131	0.192	X	-	-	-
11QOO-01	3.911	0.136	X	-	-	-
11QOO-02	3.925	0.116	X	-	-	-
11QOO-03	4.000	0.119	X	-	-	-
11QOO-04	3.888	0.115	X	-	-	-
11QOO-05	3.946	0.117	X	-	-	-
Chi-1	4.374	0.234	X	-	-	-
Chi-3	4.266	0.340	X	-	-	-
Chi-4	4.129	0.228	X	-	-	-
Chi-5a-2	4.224	0.315	X	-	-	-
Chi-6	4.027	0.230	X	-	-	-
Chi-7	4.009	0.224	X	-	-	-
Chi-10	3.330	0.246	-	-	-	-
Chi-11	4.794	0.329	X	-	-	-
Chi-12	4.103	0.286	X	-	-	-
Q-40	3.586	0.113	X	-	-	-
Q-40a	3.743	0.118	X	-	-	-
Q-42	3.704	0.116	X	-	-	-
Q-43	3.621	0.114	X	-	-	-
Q-44	3.651	0.115	X	-	-	-
Q-44a	3.832	0.128	X	-	-	-
Q-46	3.715	0.117	X	-	-	-
Q-47	4.109	0.129	X	-	-	-
Q-48	4.288	0.135	X	-	-	-
Q-49	3.907	0.123	X	-	-	-
Q-83	3.721	0.117	X	-	-	-
Q-83a	3.735	0.117	X	-	-	-
Q-135	3.721	0.117	X	-	-	-
Q-136	3.615	0.114	X	-	-	-
Q-137	3.901	0.123	X	-	-	-
HU08-01	3.809	0.185	X	27.589	1.400	X
HU08-02	3.795	0.162	X	26.145	1.327	X
