P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Clyde-River	CI2-01-02	69.83445	-70.49803	65	4	2.65	0.997	0	37163	1887	07KNSTD	-	-	-	2001	8250	297	-	-
Clyde-River	CR03-90	69.83022	-70.49618	72	2	2.65	0.986	0	36490	1058	07KNSTD	-	-	-	2003	8252	297	-	-
Clyde-River	CR03-91	69.83182	-70.49577	67	2	2.65	0.983	0	36348	2224	07KNSTD	-	-	-	2003	8252	297	-	-
Clyde-River	CR03-92	69.83182	-70.49577	67	2	2.65	0.983	0	37112	1076	07KNSTD	-	-	-	2003	8252	297	-	-
Clyde-River	CR03-93	69.83235	-70.49670	67	3	2.65	0.984	0	36657	1063	07KNSTD	-	-	-	2003	8252	297	-	-
Clyde-River	CR03-94	69.83277	-70.49750	65	2	2.65	0.994	0	38921	1129	07KNSTD	-	-	-	2003	8252	297	-	-
Marrait	11QOO-01	69.2844	-50.7569	350	1.5	2.65	0.995	0	55600	1900	07KNSTD	-	-	-	2011	9253	42	-	-
Marrait	11QOO-02	69.2844	-50.7569	350	1.5	2.65	0.995	0	55800	1618	07KNSTD	-	-	-	2011	9253	42	-	-
Marrait	11QOO-03	69.2844	-50.7566	350	1	2.65	0.995	0	57100	1656	07KNSTD	-	-	-	2011	9253	42	-	-
Marrait	11QOO-04	69.2844	-50.7562	350	1.25	2.65	0.995	0	55400	1607	07KNSTD	-	-	-	2011	9253	42	-	-
Marrait	11QOO-05	69.2842	-50.7528	350	1	2.65	0.996	0	56400	1636	07KNSTD	-	-	-	2011	9253	42	-	-
Chironico	Chi-1	46.4155	8.8524	761	2	2.65	0.9773	1	104000	5380	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-3	46.4139	8.8543	742	5	2.65	0.9818	1	97710	7640	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-4	46.4161	8.8516	764	3	2.65	0.9500	1	94920	5080	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-5a-2	46.4280	8.8488	815	5	2.65	0.9500	1	99830	7290	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-6	46.4271	8.8493	802	2	2.65	0.9500	1	96540	5340	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-7	46.4271	8.8490	805	2.5	2.65	0.9794	1	98930	5340	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-10	46.4186	8.8490	801	2	2.65	0.9772	1	82170	5930	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-11	46.4174	8.8502	800	1	2.65	0.9772	1	118850	7960	S555N	-	-	-	2012	13426	166	-	-
Chironico	Chi-12	46.4238	8.8495	790	3	2.65	0.9836	1	99910	6790	S555N	-	-	-	2012	13426	166	-	-
Huancané-II	Q-40	-13.9442	-70.8936	4853	2.8417	2.29	0.998	5	545200	15811	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-40a	-13.9442	-70.8936	4853	2.8417	2.6	0.999	5	565230	16392	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-42	-13.9450	-70.8929	4857	1.5672	2.29	0.996	5	567340	16453	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-43	-13.9437	-70.8953	4844	1.4992	2.29	0.999	5	553270	16045	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-44	-13.9450	-70.8954	4849	2.0338	2.6	1	5	554020	16067	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-44a	-13.9450	-70.8954	4849	2.8763	2.6	1	5	577900	17990	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-46	-13.9463	-70.8924	4863	0.9205	2.6	1	5	571630	16577	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-47	-13.9463	-70.8921	4865	2.1	2.29	1	5	571390	16570	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	Q-48	-13.9461	-70.8927	4862	3.4	2.29	0.998	5	589570	17098	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	Q-49	-13.9458	-70.8935	4851	5.1263	2.29	1	5	586260	17002	KNSTD	-	-	-	2005	12290	150	-	-
Huancané-II	Q-83	-13.9440	-70.8923	4856	3.2	2.6	0.975	5	495360	14365	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	Q-83a	-13.9440	-70.8923	4856	2.78	2.6	0.975	5	498720	14463	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	Q-135	-13.9468	-70.8862	4863	2.34	2.29	0.999	5	515920	14962	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	Q-136	-13.9463	-70.8865	4866	2.26	2.29	0.993	5	499300	14480	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	Q-137	-13.9457	-70.8855	4870	2.1	2.29	0.999	5	543320	15756	07KNSTD	-	-	-	2008	12293	150	-	-
Huancané-II	HU08-01	-13.94494	-70.89539	4854	7	2.29	0.997	5	510328	23953	07KNSTD	3420000	167580	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-02	-13.94635	-70.89241	4862	5	2.29	0.999	5	517585	21104	07KNSTD	3300000	161700	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-03	-13.94613	-70.89266	4859	6	2.29	0.994	5	503193	30406	07KNSTD	3380000	165620	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-04	-13.94545	-70.89280	4848	5	2.29	0.991	5	498162	14447	07KNSTD	3330000	163170	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-06	-13.94454	-70.89483	4843	7	2.29	0.999	5	502133	14562	07KNSTD	3560000	174440	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-10	-13.94700	-70.88693	4860	3.2	2.29	0.997	5	514144	17621	07KNSTD	3250000	159250	KNSTD	2008	12293	150	-	-
